Timestamp,Document Name,OCR Mode,Language,Engine Used,Fallback Used,Confidence,Processing Time (s)
2026-07-07 22:11:25,hindi greeting.jpeg,Printed,Hindi,PaddleOCR,Yes,86.46%,3.19
2026-07-07 22:11:45,hindi greeting.jpeg,Printed,Hindi,PaddleOCR,Yes,86.46%,3.14
2026-07-07 22:21:52,telugu handwritten demo.jpg,Auto,Telugu,Tesseract,Yes,93.50%,48.75
2026-07-07 22:33:11,WhatsApp Image 2026-07-06 at 1.04.15 PM.jpeg,Handwritten,Telugu,PaddleOCR,Yes,89.27%,96.53
2026-07-07 22:46:32,hindi.jpg,Handwritten,Hindi,PaddleOCR,Yes,88.93%,96.13
2026-07-07 22:47:17,hindi.jpg,Handwritten,Hindi,PaddleOCR,Yes,88.93%,83.10
2026-07-08 08:32:27,telugu handwritten demo.jpg,Auto,Telugu,Tesseract,Yes,95.00%,19.22
2026-07-08 08:40:14,hindi greeting.jpeg,Printed,Hindi,Surya OCR,Yes,96.35%,21.02
2026-07-08 08:41:34,hindi.jpg,Handwritten,Hindi,Tesseract,Yes,54.20%,23.27
2026-07-08 08:45:06,telugu.jpg,Handwritten,Telugu,SecureIndicHTR,Yes,0.00%,3.11
2026-07-08 09:12:48,hindi greeting.jpeg,Printed,Hindi,Surya OCR,Yes,96.35%,23.08
2026-07-08 09:19:48,eng greeting.png,Printed,English,Surya OCR,Yes,90.61%,9.20
2026-07-08 09:41:40,hindi greeting.jpeg,Printed,Hindi,Surya OCR,Yes,96.35%,7.95
2026-07-08 09:49:31,hindi greeting.jpeg,Printed,Hindi,Surya OCR,Yes,96.35%,6.78
2026-07-08 10:52:56,hindi greeting.jpeg,Printed,Hindi,Surya OCR,Yes,96.35%,5.69
2026-07-08 11:55:16,telugu handwritten demo.jpg,Printed,Telugu,Tesseract,Yes,95.00%,29.55
2026-07-08 12:00:59,hindi demo.jpg,Handwritten,Hindi,SecureIndicHTR,Yes,36.46%,74.29
2026-07-08 12:08:08,tel demo.jpg,Handwritten,Telugu,SecureIndicHTR,Yes,59.78%,223.04
2026-07-08 12:12:49,WhatsApp Image 2026-07-06 at 1.04.15 PM.jpeg,Handwritten,Telugu,Tesseract,Yes,30.00%,12.85
2026-07-08 12:35:57,hindi greeting.jpeg,Auto,Hindi,Tesseract,Yes,33.00%,11.31
2026-07-08 12:38:46,hindi.jpg,Handwritten,Hindi,Tesseract,Yes,68.60%,29.31
2026-07-08 13:48:31,telugu.jpg,Handwritten,Telugu,PaddleOCR PP-OCRv5,Yes,87.87%,29.94
2026-07-08 13:58:35,telugu-370x370.png,Printed,Telugu,Surya OCR,Yes,98.20%,8.61
2026-07-08 14:00:05,motivational-hindi-quote-poster.jpg,Printed,Hindi,Surya OCR,Yes,67.31%,6.88
2026-07-08 14:02:07,unnamed_document,auto,Auto,Surya OCR,Yes,0.00%,1.10
